backend,operation,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
neon,decode,standard,padded,192,0,87381,29662000,539.408636
neon,decode,standard,padded,192,1,87381,29750625,537.801776
neon,decode,standard,padded,192,2,87381,29771833,537.418672
neon,decode,standard,padded,192,3,87381,29816500,536.613585
neon,decode,standard,padded,192,4,87381,29759083,537.648924
neon,decode,standard,padded,192,5,87381,29737250,538.043665
neon,decode,standard,padded,192,6,87381,29783708,537.204399
neon,decode,standard,padded,192,7,87381,29767167,537.502913
neon,decode,standard,padded,192,8,87381,29750917,537.796498
neon,decode,standard,padded,192,9,87381,29815791,536.626346
neon,decode,standard,padded,192,10,87381,29798292,536.941479
neon,decode,standard,padded,192,11,87381,29746375,537.878614
neon,decode,standard,padded,192,12,87381,29769167,537.466801
neon,decode,standard,padded,192,13,87381,29771584,537.423167
neon,decode,standard,padded,192,14,87381,29751916,537.778440
scalar,encode,standard,padded,384,0,43690,8794209,1819.351332
scalar,encode,standard,padded,384,1,43690,8813292,1815.411978
scalar,encode,standard,padded,384,2,43690,8783584,1821.552098
scalar,encode,standard,padded,384,3,43690,8785333,1821.189460
scalar,encode,standard,padded,384,4,43690,8792458,1819.713652
scalar,encode,standard,padded,384,5,43690,8777250,1822.866599
scalar,encode,standard,padded,384,6,43690,8783375,1821.595441
scalar,encode,standard,padded,384,7,43690,8798291,1818.507237
scalar,encode,standard,padded,384,8,43690,8784000,1821.465831
scalar,encode,standard,padded,384,9,43690,8784000,1821.465831
scalar,encode,standard,padded,384,10,43690,8783917,1821.483042
scalar,encode,standard,padded,384,11,43690,8780583,1822.174662
scalar,encode,standard,padded,384,12,43690,8776958,1822.927244
scalar,encode,standard,padded,384,13,43690,8785791,1821.094522
scalar,encode,standard,padded,384,14,43690,8785042,1821.249786
scalar,decode,standard,padded,384,0,43690,63716250,251.109503
scalar,decode,standard,padded,384,1,43690,63653584,251.356716
scalar,decode,standard,padded,384,2,43690,63570333,251.685890
scalar,decode,standard,padded,384,3,43690,65064709,245.905286
scalar,decode,standard,padded,384,4,43690,66624958,240.146581
scalar,decode,standard,padded,384,5,43690,66704083,239.861717
scalar,decode,standard,padded,384,6,43690,65003875,246.135417
scalar,decode,standard,padded,384,7,43690,63693625,251.198701
scalar,decode,standard,padded,384,8,43690,63592083,251.599808
scalar,decode,standard,padded,384,9,43690,63728333,251.061892
scalar,decode,standard,padded,384,10,43690,63771667,250.891291
scalar,decode,standard,padded,384,11,43690,65708500,243.495984
scalar,decode,standard,padded,384,12,43690,66626459,240.141171
scalar,decode,standard,padded,384,13,43690,66855333,239.319066
scalar,decode,standard,padded,384,14,43690,66299334,241.326042
neon,encode,standard,padded,384,0,43690,3277333,4881.943904
neon,encode,standard,padded,384,1,43690,3275958,4883.992975
neon,encode,standard,padded,384,2,43690,3275209,4885.109884
neon,encode,standard,padded,384,3,43690,3279417,4878.841532
neon,encode,standard,padded,384,4,43690,3277125,4882.253762
neon,encode,standard,padded,384,5,43690,3296750,4853.190524
neon,encode,standard,padded,384,6,43690,3302625,4844.557241
neon,encode,standard,padded,384,7,43690,3283583,4872.651570
neon,encode,standard,padded,384,8,43690,3290208,4862.840240
neon,encode,standard,padded,384,9,43690,3279875,4878.160253
neon,encode,standard,padded,384,10,43690,3276875,4882.626240
neon,encode,standard,padded,384,11,43690,3277542,4881.632595
neon,encode,standard,padded,384,12,43690,3283292,4873.083436
neon,encode,standard,padded,384,13,43690,3278125,4880.764418
neon,encode,standard,padded,384,14,43690,3275250,4885.048732
neon,decode,standard,padded,384,0,43690,31134667,513.888774
neon,decode,standard,padded,384,1,43690,31002417,516.080919
neon,decode,standard,padded,384,2,43690,30997500,516.162783
neon,decode,standard,padded,384,3,43690,31247791,512.028382
neon,decode,standard,padded,384,4,43690,31245542,512.065237
neon,decode,standard,padded,384,5,43690,31292125,511.302951
neon,decode,standard,padded,384,6,43690,31214666,512.571746
neon,decode,standard,padded,384,7,43690,31189458,512.986018
neon,decode,standard,padded,384,8,43690,31205208,512.727102
neon,decode,standard,padded,384,9,43690,31188125,513.007943
neon,decode,standard,padded,384,10,43690,31123292,514.076591
neon,decode,standard,padded,384,11,43690,31169667,513.311735
neon,decode,standard,padded,384,12,43690,31064333,515.052290
neon,decode,standard,padded,384,13,43690,29967291,533.907314
neon,decode,standard,padded,384,14,43690,30013083,533.092714
scalar,encode,standard,padded,768,0,21845,7302041,2191.134761
scalar,encode,standard,padded,768,1,21845,7298791,2192.110428
scalar,encode,standard,padded,768,2,21845,7310125,2188.711665
scalar,encode,standard,padded,768,3,21845,7314125,2187.514687
scalar,encode,standard,padded,768,4,21845,7329250,2183.000424
scalar,encode,standard,padded,768,5,21845,7302791,2190.909730
scalar,encode,standard,padded,768,6,21845,7295292,2193.161817
scalar,encode,standard,padded,768,7,21845,7297417,2192.523171
scalar,encode,standard,padded,768,8,21845,7301750,2191.222085
scalar,encode,standard,padded,768,9,21845,7310750,2188.524551
scalar,encode,standard,padded,768,10,21845,7294875,2193.287186
scalar,encode,standard,padded,768,11,21845,7301500,2191.297111
scalar,encode,standard,padded,768,12,21845,7306583,2189.772683
scalar,encode,standard,padded,768,13,21845,7298917,2192.072585
scalar,encode,standard,padded,768,14,21845,7317750,2186.431056
scalar,decode,standard,padded,768,0,21845,63033416,253.829744
scalar,decode,standard,padded,768,1,21845,63146167,253.376517
scalar,decode,standard,padded,768,2,21845,63021417,253.878072
scalar,decode,standard,padded,768,3,21845,63104875,253.542311
scalar,decode,standard,padded,768,4,21845,63039125,253.806757
scalar,decode,standard,padded,768,5,21845,62999833,253.965052
scalar,decode,standard,padded,768,6,21845,63001833,253.956990
scalar,decode,standard,padded,768,7,21845,63019625,253.885291
scalar,decode,standard,padded,768,8,21845,62980292,254.043850
scalar,decode,standard,padded,768,9,21845,62989500,254.006713
scalar,decode,standard,padded,768,10,21845,62960625,254.123206
scalar,decode,standard,padded,768,11,21845,62938250,254.213548
scalar,decode,standard,padded,768,12,21845,62971792,254.078141
scalar,decode,standard,padded,768,13,21845,63309750,252.721830
scalar,decode,standard,padded,768,14,21845,62917209,254.298563
neon,encode,standard,padded,768,0,21845,3003083,5327.776775
neon,encode,standard,padded,768,1,21845,2997666,5337.404454
neon,encode,standard,padded,768,2,21845,2997583,5337.552241
neon,encode,standard,padded,768,3,21845,3000917,5331.622254
neon,encode,standard,padded,768,4,21845,2997625,5337.477456
neon,encode,standard,padded,768,5,21845,2997792,5337.180118
neon,encode,standard,padded,768,6,21845,3006792,5321.204746
neon,encode,standard,padded,768,7,21845,2997750,5337.254894
neon,encode,standard,padded,768,8,21845,2997833,5337.107124
neon,encode,standard,padded,768,9,21845,3001000,5331.474795
neon,encode,standard,padded,768,10,21845,2997500,5337.700036
neon,encode,standard,padded,768,11,21845,2997875,5337.032351
neon,encode,standard,padded,768,12,21845,2997833,5337.107124
neon,encode,standard,padded,768,13,21845,3005541,5323.419597
neon,encode,standard,padded,768,14,21845,2997708,5337.329673
neon,decode,standard,padded,768,0,21845,29683709,539.007974
neon,decode,standard,padded,768,1,21845,29579666,540.903872
neon,decode,standard,padded,768,2,21845,29519583,542.004806
neon,decode,standard,padded,768,3,21845,29454916,543.194754
neon,decode,standard,padded,768,4,21845,29555833,541.340041
neon,decode,standard,padded,768,5,21845,29597833,540.571868
neon,decode,standard,padded,768,6,21845,29557833,541.303412
neon,decode,standard,padded,768,7,21845,29703083,538.656403
neon,decode,standard,padded,768,8,21845,29619667,540.173387
