backend,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
ssse3-sse4.1,standard,padded,384,10,43690,20073743,797.048954
ssse3-sse4.1,standard,padded,384,11,43690,20103008,795.888648
ssse3-sse4.1,standard,padded,384,12,43690,20507920,780.174482
ssse3-sse4.1,standard,padded,384,13,43690,20026213,798.940661
ssse3-sse4.1,standard,padded,384,14,43690,20104861,795.815294
avx2,standard,padded,384,0,43690,18587405,860.784809
avx2,standard,padded,384,1,43690,18458113,866.814276
avx2,standard,padded,384,2,43690,18589990,860.665114
avx2,standard,padded,384,3,43690,18608756,859.797176
avx2,standard,padded,384,4,43690,18576354,861.296886
avx2,standard,padded,384,5,43690,18872793,847.768312
avx2,standard,padded,384,6,43690,18791649,851.429050
avx2,standard,padded,384,7,43690,18321264,873.288866
avx2,standard,padded,384,8,43690,18124835,882.753187
avx2,standard,padded,384,9,43690,18073739,885.248805
avx2,standard,padded,384,10,43690,18034605,887.169742
avx2,standard,padded,384,11,43690,18082625,884.813784
avx2,standard,padded,384,12,43690,18087324,884.583914
avx2,standard,padded,384,13,43690,18431692,868.056815
avx2,standard,padded,384,14,43690,18039555,886.926305
avx512-vbmi,standard,padded,384,0,43690,18557880,862.154290
avx512-vbmi,standard,padded,384,1,43690,18130556,882.474639
avx512-vbmi,standard,padded,384,2,43690,18058489,885.996379
avx512-vbmi,standard,padded,384,3,43690,18042079,886.802228
avx512-vbmi,standard,padded,384,4,43690,18065313,885.661702
avx512-vbmi,standard,padded,384,5,43690,18032170,887.289542
avx512-vbmi,standard,padded,384,6,43690,18150643,881.498020
avx512-vbmi,standard,padded,384,7,43690,18246444,876.869809
avx512-vbmi,standard,padded,384,8,43690,18378212,870.582833
avx512-vbmi,standard,padded,384,9,43690,18256964,876.364540
avx512-vbmi,standard,padded,384,10,43690,18288312,874.862363
avx512-vbmi,standard,padded,384,11,43690,18408879,869.132545
avx512-vbmi,standard,padded,384,12,43690,18433767,867.959102
avx512-vbmi,standard,padded,384,13,43690,18176753,880.231792
avx512-vbmi,standard,padded,384,14,43690,18347344,872.047521
scalar,standard,padded,768,0,21845,51355923,311.546457
scalar,standard,padded,768,1,21845,51357125,311.539165
scalar,standard,padded,768,2,21845,51240936,312.245582
scalar,standard,padded,768,3,21845,51162068,312.726918
scalar,standard,padded,768,4,21845,51072980,313.272416
scalar,standard,padded,768,5,21845,51183468,312.596166
scalar,standard,padded,768,6,21845,51271223,312.061131
scalar,standard,padded,768,7,21845,51172066,312.665818
scalar,standard,padded,768,8,21845,51210980,312.428230
scalar,standard,padded,768,9,21845,51427737,311.111412
scalar,standard,padded,768,10,21845,55111712,290.314985
scalar,standard,padded,768,11,21845,51289447,311.950251
scalar,standard,padded,768,12,21845,51105441,313.073433
scalar,standard,padded,768,13,21845,51204167,312.469801
scalar,standard,padded,768,14,21845,50788274,315.028541
ssse3-sse4.1,standard,padded,768,0,21845,19460488,822.166220
ssse3-sse4.1,standard,padded,768,1,21845,19445190,822.813038
ssse3-sse4.1,standard,padded,768,2,21845,19428298,823.528436
ssse3-sse4.1,standard,padded,768,3,21845,19487329,821.033804
ssse3-sse4.1,standard,padded,768,4,21845,19421034,823.836458
ssse3-sse4.1,standard,padded,768,5,21845,19412719,824.189330
ssse3-sse4.1,standard,padded,768,6,21845,19406356,824.459567
ssse3-sse4.1,standard,padded,768,7,21845,19447965,822.695632
ssse3-sse4.1,standard,padded,768,8,21845,19556248,818.140364
ssse3-sse4.1,standard,padded,768,9,21845,19573161,817.433416
ssse3-sse4.1,standard,padded,768,10,21845,19495825,820.676009
ssse3-sse4.1,standard,padded,768,11,21845,19440161,823.025893
ssse3-sse4.1,standard,padded,768,12,21845,19400255,824.718843
ssse3-sse4.1,standard,padded,768,13,21845,19335123,827.496978
ssse3-sse4.1,standard,padded,768,14,21845,19327629,827.817828
avx2,standard,padded,768,0,21845,17983910,889.670592
