schema_version,backend,operation,alphabet,padding,input_len,target_arch,target_os,median_throughput_mib_s,scalar_median_throughput_mib_s,ratio_to_scalar,status
1,auto,decode,url-safe,padded,24,x86_64,linux,104.873795,302.238565,0.346990,non-admissible-below-scalar
1,avx2,decode,url-safe,padded,24,x86_64,linux,102.682143,302.238565,0.339739,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,24,x86_64,linux,75.577135,302.238565,0.250058,non-admissible-below-scalar
1,auto,decode,url-safe,padded,3,x86_64,linux,162.563628,220.585183,0.736965,non-admissible-below-scalar
1,auto,decode,url-safe,padded,31,x86_64,linux,116.542808,281.957942,0.413334,non-admissible-below-scalar
1,avx2,decode,url-safe,padded,31,x86_64,linux,118.250078,281.957942,0.419389,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,31,x86_64,linux,87.815970,281.957942,0.311451,non-admissible-below-scalar
1,auto,decode,url-safe,padded,32,x86_64,linux,118.771874,284.085514,0.418085,non-admissible-below-scalar
1,avx2,decode,url-safe,padded,32,x86_64,linux,119.105140,284.085514,0.419258,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,32,x86_64,linux,89.754921,284.085514,0.315943,non-admissible-below-scalar
1,auto,decode,url-safe,padded,47,x86_64,linux,135.423007,304.573201,0.444632,non-admissible-below-scalar
1,avx2,decode,url-safe,padded,47,x86_64,linux,104.855337,304.573201,0.344270,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,47,x86_64,linux,75.110079,304.573201,0.246608,non-admissible-below-scalar
1,auto,decode,url-safe,padded,48,x86_64,linux,138.537611,309.008375,0.448330,non-admissible-below-scalar
1,avx2,decode,url-safe,padded,48,x86_64,linux,109.535770,309.008375,0.354475,non-admissible-below-scalar
1,avx512-vbmi,decode,url-safe,padded,48,x86_64,linux,142.569009,309.008375,0.461376,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,48,x86_64,linux,76.224979,309.008375,0.246676,non-admissible-below-scalar
1,auto,decode,url-safe,padded,63,x86_64,linux,118.606305,315.676103,0.375722,non-admissible-below-scalar
1,avx2,decode,url-safe,padded,63,x86_64,linux,99.282963,315.676103,0.314509,non-admissible-below-scalar
1,avx512-vbmi,decode,url-safe,padded,63,x86_64,linux,119.616418,315.676103,0.378921,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,63,x86_64,linux,80.777496,315.676103,0.255887,non-admissible-below-scalar
1,auto,decode,url-safe,padded,64,x86_64,linux,117.546232,294.235007,0.399498,non-admissible-below-scalar
1,avx2,decode,url-safe,padded,64,x86_64,linux,99.035455,294.235007,0.336586,non-admissible-below-scalar
1,avx512-vbmi,decode,url-safe,padded,64,x86_64,linux,117.021778,294.235007,0.397715,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,64,x86_64,linux,80.730609,294.235007,0.274375,non-admissible-below-scalar
1,auto,decode,url-safe,padded,65536,x86_64,linux,148.689963,312.888189,0.475218,non-admissible-below-scalar
